offense_charge_desc,offense_freq_count
POSSESSION OF TOBACCO,5588
FAILURE TO MAINTAIN ASSURED CLEAR DISTANCE (NON-COLLISION),5460
FAIL TO MAINTAIN FINANCIAL RESPONSIBILIT,5455
FAILED TO STOP AT DESIGNATED POINT-STOP SIGN,5452
TOW AWAY ZONE BUS STOP,5426
TOW AWAY CUSTOMER SERVICE ZONE (O,5240
FAILURE TO YIELD - STOP SIGN,5060
CMV - NO INSPECTION 396 17,5051
FAILURE TO YIELD TO EMERGENCY VEHICLE,5035
FOLLOWING TOO CLOSE - NON-COLLISION,5005
SPEEDING - STATE HIGHWAY  - LESS THAN 10% OVER LIMIT,4885
IMPROPER LEFT TURN-APPROACH,4795
FAILED TO YIELD - STOP SIGN,4703
PARKING - OVER 18 INCHES FROM CURB,4675
"""POSTED SIGN: NO LEFT",4641
TOW AWAY COMM SERVICE ZONE (OVER 30,4614
ANIMAL - NO CURRENT RABIES,4605
TOW AWAY TIME ZONE (UNMETERED) 30 M,4564
"""LITTER IN STREET",4494
CURFEW - NIGHT,4488
TAXICAB STAND,4355
FAILED TO DRIVE IN MARKED LANES,4230
TOW AWAY ZONE PERMIT PARKING (METER,4201
CURFEW - DAYTIME (SCHOOL TIME),4190
PARKING IN DISABLED SPACE (1ST OFFENSE),4185
FAIL TO DISPLAY DRIVERS LICENSE,4181
PERMIT PARKNG (METER HOOD/BAG),4103
HEALTH - LIST OF FOOD HANDLERS,3880
ANIMAL - IMPROPER CARE,3807
FOLLOWING TOO CLOSELY - NON-COLLISION,3795
TEXTING PROHIBITED WHILE DRIVING,3785
PRKNG IN DISABLED SPC/ZONE,3694
HUMAN WASTE,3689
DRIVING WITHOUT LIGHTS,3606
POSTED SIGN - NO RIGHT/LEFT ON RED,3536
TOW AWAY PASSENGER ZONE (UNATTENDED,3510
SPEEDING-POSTED,3481
PARKING - BLOCKING ALLEY,3374
LICENSE PLATE INSIGNIA ON DIFFERENT VEHICLE,3348
WRONG WAY ON ONE-WAY STREET,3330
ANIMAL - NO CURRENT RABIES VACCINATION,3327
ALCOHOL - SELLING/POSSESSING IN PROHIBITED AREA,3266
NMV - RAN STOP SIGN,3162
LICENSE PLATE FOR DIFFERENT VEHICLE,3131
INSPECTION STICKER - FAIL TO DISPLAY,3123
DISREGARDED POSTED SIGN - NO U TURN,3097
LICENSE PLATE - NO FRONT/REAR PLATE,3091
NMV - RAN RED LIGHT,3087
TOW AWAY TIME ZONE (UNMETERED) 15 M,3057
CUSTOMER SERVICE ZONE(OVER 15 MIN),3047
NO HEADLIGHTS,3045
SEATBELT - PASSENGER,3042
HEALTH - NO FOOD SERVICE PERMIT,3016
TOW AWAY TIME ZONE (UNMETERED) 2,2920
OVER STALL LINE (UNMETERD),2901
MINOR IN POSSESSION OF ALCOHOL,2867
ALCOHOL - CONSUMING ON PREMISES,2856
ALCOHOL - MINOR CONSUMING,2852
FAILURE TO YIELD - PEDESTRIAN IN CROSSWALK,2829
PARKING - DOUBLE PARKED,2820
NO SEAT BELT-CHILD 5-16 YEARS OLD,2802
TURN ONLY - RIGHT / LEFT / TURNAROUND - POSTED SIGN,2800
ILLEGAL BACKING,2797
FAILED TO YIELD - PEDESTRIAN IN CROSSWALK,2771
TIME ZONE (UNMETERED) 2 HR PARKING,2755
IMPEDING TRAFFIC,2723
FAILED TO CONTROL SPEED - POSTED,2721
FOLLOWING TOO CLOSELY-COLLISION,2652
No Seat Belt Child under 8,2650
SOLICITATION BY PEDESTRIAN IN ROADWAY - STATE LAW,2605
TOW AWAY ZONE RGHT WY (BTWN CRB/PRO,2590
RAN RED LIGHT - NOT AN INTERSECTION,2586
SOLICITATION BY PEDESTRIAN IN ROADWAY - CITY ORDINANCE,2584
HEALTH - NO FOOD MANAGER CERTIFICATE,2566
EXPIRED BUYERS PLATE,2556
PASSING A SCHOOL BUS,2520
EXPIRED PARKING SPACE,2509
WINDOW OBSTRUCTION,2502
POSTED SIGN-NO RIGHT/LEFT ON RED,2426
BICYCLE - RAN RED LIGHT,2397
TOW AWAY TIME ZONE (UNMETERED) 1 HR,2368
FTMACD - COLLISION,2340
PARKING - PARKED FACING TRAFFIC,2327
BUILDING CODE - NO RESIDENTIAL PERMIT,2299
CROSSING PROPERTY WITHOUT STOPPING,2281
SIMPLE ASSAULT BY CONTACT,2275
SOLICITATION BY PED IN ROADWAY,2223
Parking - Pay Station Receipt Incorrectly Displayed,2222
DISREGARDED BARRICADE,2199
PARKING - TIME ZONE,2191
DISRUPTION OF CLASSES,2184
MOTORCYCLE - NO DRIVERS LICENSE,2178
BLOCKING A DISABLED ACCESS RAMP,2165
ANIMAL - IMPROPER RESTRAINT,2145
BLOCKING A DISABLED ACCESS RAMP (1S,2135
NO PAY STATION RECEIPT DISPLAYED,2078
TEXTING PROHIBITED,2056
FAILURE TO YIELD LEFT TURN INTERSECTION,2048
THEFT OF SERVICE,2040
OVER STALL LN/YELW X(METR),2040
DRIVING ON IMPROVED LEFT/RIGHT SHOULDER,2033
SIMPLE ASSAULT BY CONTACT-NON FAMILY,2011
LEAVING SCENE OF COLLISION,1950
MANIFESTATION - PROSTITUTION,1947
LICENSE PLATE INSIGNIA ON DIFF VEHICLE,1925
DO NOT CROSS WHITE LINE/STRIPE - POSTED SIGN,1915
NO SEATBELT-UNRESTRAINED CHILD UNDER 5,1885
TOW AWAY COMM SERVICE ZONE (OVER 30 MIN),1850
PARKING - NOT WITHIN LINES - METER ZONE,1847
NO TAILLIGHTS,1815
POSTED SIGN - TRAFFIC CONTROL DEVICE,1809
PARKING - BLOCK HANDICAPPED ACCESS RAMP,1798
SMOKING PROHIBITED IN PARK,1790
POSTED SIGN - STRAIGHT OR RIGHT ONLY,1768
HUMAN WASTE IN PUBLIC PLACE,1767
IMPROPER RIGHT TURN-APPROACH,1757
OBSCURED LICENSE PLATE,1752
FAIL TO CHANGE NAME\ADDRESS ON DL,1749
CMV - FAIL TO MAINTAIN BRAKES,1738
STEREO AMPLIFICATION - VEHICLE,1725
NO BRAKE LIGHTS VIOLATION,1695
RIGHT TURN OR STRAIGHT ONLY - POSTED SIGN,1695
PARKING - WITHIN 20' OF CROSSWALK,1648
BLOCKNG DISBLD ACCESS RAMP,1616
PARKING - COMMERCIAL SERVICE ZONE,1611
ANIMAL - DOG UNRESTRAINED,1598
NO DRIVER LICENSE - MOTORCYCLE,1575
PEDESTRIAN SOLICITING IN ROADWAY - STATE LAW,1570
TIME ZONE (UNMETERED) 15 MIN PARKIN,1568
U-TURN NOT IN SAFETY,1548
FAIL SHOW PROOF LIABILITY INSURANCE,1535
CMV - NO OPERATING AUTHORITY,1515
CELL PHONE USE IN SCHOOL ZONE,1500
STEREO AMPLIFICATION -VEHICLE,1497
NO INSPECTION STICKER VIOLATION,1494
ANIMAL - KEEPING ANIMAL IN ENCLOSED VEHICLE,1494
ALCOHOL PROHIBITED IN CITY AREAS,1482
DISORDERLY CONDUCT- FIGHTING,1480
BLOCKING A DISABLED ACCESS RAMP (1ST OFFENSE),1460
BICYCLE - NO LIGHTS,1441
NO U TURN - POSTED SIGN,1435
PARKING IN A FIRE ZONE,1431
CONSUMING ALCOHOL ON PREMISES,1427
PARKING IN DISABLED SPACE (1ST OF,1400
DISREGARDED BARRICADE - MOTORIZED VEHICLE,1390
PASSING IN NO PASSING ZONE,1385
SPEEDING - CITY WORK ZONE- WORKERS PRESENT,1361
FAIL TO DSPLY DL OR APPROPRIATE FOR VEHI,1357
PARKING - BLOCKING CROSSWALK,1349
ALCOHOL - CONSUMING WHERE PROHIBITED,1343
TOW AWAY ZONE RGHT WY (BTWN CRB/PROP LINE),1340
FAILURE TO OBTAIN TX DRIVERS LIC,1334
ALCOHOL - MINOR DRIVING UNDER INFLUENCE,1334
NMV - OPERATE BICYCLE WITHOUT LIGHTS,1325
SPEEDING - CITY WORK ZONE - NO WORKERS,1303
SPEEDING-SCHOOL ZONES,1286
ALLOW UNLIC DRIVER - NOT CHILD/WARD,1285
IMPROPER RIGHT TURN - APPROACH,1280
BUILDING CODE - NO BUILDING PERMIT,1276
DEFECTIVE HEADLIGHTS,1274
CUT IN AFTER PASSING,1268
FAILURE TO YIELD - YIELD SIGN,1216
CDL - NO MEDICAL CERTIFICATE,1214
MANIFESTATION - DRUGS,1210
PEDESTRIAN IN ROADWAY/CITY ORD,1203
CDL - NOT LICENSED,1198
TOW AWAY PASSENGER ZONE (UNATTENDED VEHICLE),1195
FAILED TO YIELD - INTERSECTION W/DEVICE,1195
ALCOHOL WITHIN 1000 FEET OF A SCHOOL,1195
PARKING - WITHIN AN INTERSECTION,1163
BICYCLE - RAN STOP SIGN,1154
SPEEDING-POSTED-CITY STREET - LESS THAN 10% OVER,1153
WITHIN 20FT OF A CROSSWALK,1151
EXTENDING TIME BEYOND LIMIT (PAY STATION),1125
"""GAMBLING - CARDS",1123
BLOCKING ALLEY,1121
CMV - WEIGHT LIMIT-OVER 34000 LBS TANDEM,1120
IMPROPER RIGHT TURN-EXIT,1116
BLOCKING CROSSWALK,1114
CONSUMING ALCOHOL DESIGNATED AREA,1112
FAILED TO YIELD - YIELD SIGN,1085
GANG RELATED ACTIVITY - EDUCATION CODE,1061
ALCOHOL - SELL/POSSESS IN PROHIBITED AREA,1052
ATTEMPTED MISDEMEANOR THEFT B,1041
GT - NO VALID CITY CHAUFFEURS PERMIT,1034
FAIL TO SIGNAL INTENT TO TURN,1026
DISREGARDED ORDER OF POLICE OFFICER,1017
FAILED TO YIELD - INTERSECTION W/NO DEVICE,1011
POSTED SIGN - DO NOT CROSS WHITE STRIPE,1010
UNREGISTERED VEHICLE-TRAILER/MOTORCYCLE,991
PARKING - EXTENDING TIME BEYOND LIMIT,989
IMPROPER RIGHT TURN - EXIT,986
DISORDERLY CONDUCT-EXCESS NOISE-PRIVATE,984
FIRE - UNAUTHORIZED BURNING,983
GLASS CONTAINER PROHIBITED,975
WATER - STAGE 2 - IRRIGATION DAY,975
FAILURE TO YIELD STOP SIGN,975
SOLICITATION -  AGRESSIVE,974
IMPROPER LEFT TURN-EXIT,970
FAILED TO MAINTAIN ASSURED CLEAR DISTANCE - NON - COLLISION,970
POSTED SIGN - EXIT ONLY,970
FOLLOWING TOO CLOSELY - COLLISION,960
TOW AWAY TIME ZONE (UNMETERED) 15 MIN PARKING,945
DRIVER'S LIC REST CODE A (NO GLASSES),944
ANIMAL - FAILED TO QUARANTINE,940
WATER REST - STAGE 1 - WRONG DAY,931
ILLEGAL COLORED LIGHTS,930
ZONING - NO SITE PLAN,925
WRONG SIDE OF ROAD - NOT PASSING - 2 LANES,915
WWW: FAILED TO REPAIR PRIVATE LATERAL,915
DROVE ONTO/OFF RESTRICTED ACCESS HIGHWAY,908
Curfew-Night-Other Areas,888
DISORDERLY CONDUCT-ABUSIVE LANGUAGE,878
TOW AWAY ZONE PERMIT PARKING (MET,855
DRIVING ON IMPROVED LEFT SHOULDER,855
WATER REST - STAGE 2 - WRONG TIME/DAY,851
SLOWER VEHICLE FAILED TO KEEP RIGHT,839
FAILED/REFUSED TO IDENTIFY,835
IMPROPER TURN - UNSAFE,835
FAILURE TO PAY PUBLIC TRANSPORTATION FARE,805
UNSAFE CHANGE OF LANES,805
FAILED TO YIELD INTO PRIVATE DRIVE,800
FAILURE TO MAINTAIN ASSURED CLEAR DISTANCE - NON - COLLISION,799
SPEEDING-URBAN AREA POSTED 30 MPH,795
POSTED SIGN - ONE WAY,787
CMV - INADEQUATE/IMPROPER BRAKES,786
FAILURE TO YIELD RIGHT OF WAY,780
TOW AWAY COMM SERVICE ZONE (OVER,770
NON-MOTORIZED VEHICLE - DISREGARDED BARRICADE,769
SPEEDING-URBAN AREA(30 MPH SP. LIMIT),752
CMV - BRAKES INOPERABLE,737
MOTORCYCLE-NO DRIVERS LICENSE,736
CURFEW-DAYTIME (SCHOOL TIME),732
BICYCLE: WRONG WAY ONE WAY,732
NO SEAT BELT-CHILD 8-16 YEARS OLD,731
DEFECTIVE LICENSE PLATE LIGHT,722
SIT OR LIE ON PUBLIC SIDEWALK,710
TOW AWAY TIME ZONE (UNMETERED) 1 HR PARKING,690
CDL - NO VALID CDL,690
RAN STOP SIGN - NO INTERSECTING STREET,683
CMV - FAILED TO KEEP CURRENT STATUS 395.8 F1,683
DROVE TRUCK IN RESTRICTED LANE,682
WATER REST - DEFECTIVE SYSTEM,676
PARKING - COMM SVC ZONE (OVER 30 MIN),675
FAILURE TO SECURE LOAD-NO TARP,672
PASSING TO RIGHT NOT IN SAFETY,663
FAILURE TO IDENTIFY-FALSE REPORT,658
CMV-NO INSPECTION 396 17,654
SPEEDING-SCHOOL ZONE,648
SLEEPING IN PUBLIC PLACE,645
CONSUMING ALCOHOL DESIGNATED AREA 1-6,642
NMV - WRONG WAY ONE WAY,641
CURFEW - NIGHTTIME (11:30 PM - 6:00 AM),639
FAILURE TO YIELD TO EMERGENCY VEH,636
SPEEDING- WITHIN CITY LIMITS (URBAN DISTRICT),631
POSTED SIGN - RIGHT/LEFT TURN ONLY TURNAROUND,624
FAILED TO DIM HEADLIGHTS,619
DISORDERLY CONDUCT-INDECENT EXPOSURE #,607
WRONG SIDE OF ROAD/HIGHWAY,585
DISORDERLY CONDUCT -  EXCESS NOISE - PRIVATE,585
SIMPLE ASSAULT BY THREAT,584
TOW AWAY PASSENGER ZONE (UNATTEND,570
MOTORCYCLE - NO/UNAPPROVED HELMET,569
POSTED SIGN-NO LEFT TURN,569
LEFT TURN OR STRAIGHT ONLY - POSTED SIGN,565
RAN RED LIGHT AT MIDBLOCK,565
SIMPLE ASSAULT BY CONTACT - NON FAMILY,563
LEAVING VEHICLE UNATTENDED,563
IMPRUDENT SPEED,560
MINOR CONSUMING ALCOHOL,559
WRONG SIDE OF ROAD NOT PASSING-2 LANES,557
DRIVER LICENSE RESTRICTION A (NO GLASSES),555
SIMPLE ASSAULT BY CONTACT-FAMILY,555
WITHIN 30FT OF A YIELD SIGN,548
IMPROPER START FROM STOPPED POSITION,547
FAILED TO YIELD - RIGHT TURN ON RED,541
PARALLEL PARKING ONLY,541
PARKING - LOADING ZONE,540
GT - PEDI-CAB-TOO MANY PASSENGERS,538
DRIVING WHILE LICENSE INVALID - prohibition order,538
ALCOHOL - WITHIN 1000 FEET OF A SCHOOL,526
MOTORCYCLE-OPER NO/UNAPPROVED HELMET,526
ANIMAL - LIVE COMMERCE,521
CHILD IN VEHICLE-UNATTENDED PC 22.10,520
FAILED TO SECURE LOAD-NO TARP,520
SMOKING - PUBLIC PLACE,516
PERMT PRKNG(UNMETERD AREA),512
CONSUME/POSSESS ALC W/IN 1000 FT OF SCH,511
NO LEFT TURN INTO PRIVATE DRIVE - POSTED SIGN,510
GT - INACCURATE TAXIMETER,510
CMV - UNSAFE CONDITION-396 3 A 1,509
CMV - TIRE WITH INSUFFICIENT TREAD 2/32 OF INCH,501
GT - OPERATING W/OUT VALID PERMIT,499
WATER REST - RUNOFF - PONDING,498
STEREO AMPLIFICATION-VEHICLE,497
MINOR DRIVING UNDER THE INFLUENCE OF ALC,496
TOW AWAY ZONE PERMT PRKNG (UNMETERED AREA),495
DIFFERENT VALIDATION SEAL MC ALSO,495
JUMPING FROM BRIDGE,493
RAILROAD - ENTERED PROPERTY,490
DOG ORD - DOG/CAT NO CURRENT RABIES,487
DRIVER LICENSE RESTRICTION B - PERMIT ONLY WITHOUT ADULT,485
PASSING TO RIGHT - NOT IN SAFETY,485
ZONING - DEVELOPMENT W/O CERTIFICATE OF OCCUPANCY,484
POSTED SIGN-DO NOT CROSS WHITE STRIPE,483
PARKING - TOW AWAY ZONE NO PARKING AREA,483
TRAFFIC CASE VOIDED - COMMENT,483
BLOCKING A DISABLED ACCESS RAMP (,480
BUILDING CODE - NO PLUMBING PERMIT,477
FAILURE TO DRIVE MARKED LANES,475
NO DRIVERS LICENSE 2ND OFFENSE,474
TOW AWAY TIME ZONE (UNMETERED) 5 MI,471
TOW AWAY TIME ZONE (UNMETERED) 30,470
BUS STOP,468
ANIMAL - Dog/Cat Unregistered,466
NO SEATBELT-UNRESTRAINED CHILD UNDER 4,464
FIRE - OVERCROWDED PREMISES,463
PARKING - PUBLIC ROW BTW CURB/PROP LINE,458
SOLID WASTE - ILLEGAL DUMPING,456
WATER - WATER WASTE - RUNOFF,455
SMOKING - TOBACCO SALE TO MINOR,454
SPEEDING - AIRPORT,454
CHILD IN VEHICLE-UNATTENDED,450
TOW AWAY TIME ZONE (UNMETERED) 15,450
FAILED TO STOP AT PROPER PLACE-LIGHT-INTERSECTION,440
DISORDERLY CONDUCT- INDECENT EXPOSURE,435
VEHICLE CROSSING PROHIBITED,435
LICENSE PLATE NO FRONT/REAR PLATE,431
PARKING - BACK-IN ANGLE ONLY,430
IMPROPER START FROM STOP,430
NON-MOTORIZED VEHICLE - RAN STOP SIGN,425
TOW AWAY TIME ZONE (UNMETERED) 30 MIN PARKING,425
OTHER TRAFFIC VIOLATION,425
PARENT CONTRIBUTING TO NON ATTENDANCE,423
WATER REST - STAGE 2 - DEFECTIVE SYSTEM,420
Alcohol - Consume in Prohibited Area,419
ANIMAL - NOISE,416
DRIVER'S LIC REST - CODE B-LOFS,413
DISREGARD POSTED SIGN - NO U TURN,410
WATER REST - STAGE 2 - IRRIGATION TIME/DAY,408
GT - NO/EXPIRED PERMIT DISPLAYED,406
FAILURE TO STOP AT PROPER PLACE-LIGHT-INTERSECTION,403
Curfew-Night,402
Speeding - work zone - no workers,401
BUILDING CODE - NO ELECTRIC PERMIT,401
POSTED SIGN - STRAIGHT OR LEFT ONLY,400
TIME ZONE (UNMETERED) 15 MIN PARKING,400
PASSENGER ZONE (UNATTENDED VEHICLE),399
RECKLESS DESTRUCTION OF PROPERTY,393
CDL - FALSE LOG NO LOG,392
LICENSE PLATE/REGISTRATION FOR DIFFERENT VEHICLE,391
TOW AWAY ZONE PERMT PRKNG (UNMETERE,390
SPEEDING,388
PEDESTRIAN SOLICITATION - PROHIBITED AREA,380
FAILED TO CONTROL SPEED - URBAN,379
CMV - DEFECTIVE TIRES,378
PARKING - ON SIDEWALK AREA,376
CRIMINAL MISCHIEF-DESTRUCTION OF PROPERTY,373
SOLID WASTE - UNSANITARY CONDITION,371
FAILURE TO YLD TO PEDESTRIAN-CROSSWALK,371
ILLEGAL COLOR LIGHT TO REAR,371
AGGRESSIVE SOLICITATION,371
EXIT ONLY - POSTED SIGN,370
DOG ORD - DOG/CAT UNREGISTERED,370
WATER REST - COMMERCIAL - WRONG DAY,367
STOPPING ON RAILROAD TRACK,363
FAILURE TO YIELD TO VEHICLE IN INT,361
PEDESTRIAN CROSSING ROADWAY/CITY ORD,354
FAILURE TO MAINTAIN ASSURED CLEAR DIST-rs111610,353
MISDEMEANOR THEFT C,353
NMV - OPERATE ON SIDEWALK,350
PARKING-OTHER,348
WATER - STAGE 2 - IRRIGATION TIME,345
TOW AWAY MEX CONSULATE PASS & LOAD ZONE,345
EXCESSIVE SMOKE FROM EXHAUST,345
FAILURE TO CONTROL SPEED-URBAN,343
PASSING ON LEFT,341
HEALTH - No food manager's certificate,340
TIME ZONE (UNMETERED) 30 MIN PARKIN,338
BLOCKING CROSSWALK - TRAFFIC,336
WINDOW TINT-LESS THAN 25 PERCENT LIGHT,334
EXTENDING TIME BEYOND LIMIT (PAY ST,330
ENTERING BLOCKED INTERSECTION,328
FAILURE TO YIELD - RIGHT TURN ON RED,328
CMV - NO LOW PRESSURE WARNING DEVICE,326
POSTED SIGN-EXIT ONLY,326
DISREGARD BARRICADE,325
COMM SERVICE ZN(OVER 30MIN),324
PDP,324
GT - GENERAL VIOLATION,320
PAY STATION RECEIPT NOT DISPLAYED (MALFUNCTIONING METER),320
WRONG SIDE OF RD-4 LANES,317
CMV - TIRE VIOLATION,316
CONSUMING ALCOHOL - DESIGNATED AREA,312
TOW AWAY ZONE RESERVED PARKING (CIT,306
BUILDING CODE - NO MECHANICAL PERMIT,306
CMV - FAILED TO SECURE LOAD  393 100,303
DO NOT ENTER - POSTED SIGN,300
PARKING - OTHER - RESIDENT ONLY ZONE,300
SIMPLE ASSAULT BY CONTACT - F AMILY,300
FAILURE TO STOP 15 FEET FROM RR CROSSING,300
NO SEAT BELT-ALLOW CHILD 4-16 YR,299
NOISE - NO LIVE MUSIC PERMIT,293
FAILURE TO YIELD-LEFT TURN/INTERSECTION,293
FAILURE TO YIELD INTO PRIVATE DRIVE,292
U-TURN PROHIBITED BY SIGN,289
GT - NO OPER AUTH/TAXICAB FRANCHISE,287
FAILED TO SIGNAL INTENT - PARKED POSITION,287
SIMPLE ASSAULT BY THREAT-NON FAMILY,286
GT - PEDICAB - IMPEDING TRAFFIC,286
WATER REST - STAGE 2 - RUNOFF - PONDNG,286
DEFECTIVE EQUIPMENT,285
FAILED TO CHANGE NAME/ADDRESS ON ID CERT,282
WATERSHED - NO SITE PLAN - ETJ,281
DOG OR CAT NO CURRENT RABIES VACCINATION,281
ILLEGAL USE OF DISABLED CARD,280
DOG ORDINANCE - UNREGISTERED,280
TIME BEYOND LEGAL LMT(MTR),278
DRIVING IN BICYCLE LANE,275
DRIVER MISUSE OF DEALER PLATE,272
FAILURE TO OBTAIN TEXAS TITLE,272
WATERSHED - NO WATER QUALITY CONTROL PLAN,271
NOISE - DECIBEL LEVEL AT BUSINESS,270
